@relation 'mini-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-3,5-13'

@attribute average_time_per_learning_session numeric
@attribute target {0,1}

@data
41.38835,1
40.860173,0
54.181707,1
29.01376,1
13.786893,0
5.181669,0
246.900195,1
88.999813,1
230.37451,1
82.203295,1
40.123757,1
85.990745,0
21.674583,0
50.031287,0
87.612872,1
85.973791,1
12.016835,0
54.191764,1
19.123818,1
12.196169,0
48.631453,1
23.463153,1
0.873285,1
38.148391,1
7.686773,0
42.215819,1
59.666457,0
56.280687,0
16.808537,1
100.407307,0
23.020028,1
81.954293,0
0.89005,0
15.221927,0
51.085512,0
42.875883,1
26.312537,0
430.85026,1
20.972365,0
16.520844,0
9.702228,0
26.909398,1
83.042806,0
192.803119,1
200.072599,1
26.377722,0
14.584407,1
63.481468,1
142.971964,0
3.455881,1
16.047292,0
15.214467,1
232.105206,1
22.989716,1
122.240253,1
0.182773,0
32.527692,0
11.123166,1
143.852824,1
139.931947,1
42.886741,1
15.315588,0
49.261245,0
4.91263,0
285.829014,1
65.955972,0
157.455828,1
1.793121,1
26.295225,0
121.932863,0
61.506493,0
83.539875,1
70.072461,1
10.320107,0
14.757209,1
43.67193,1
17.757787,1
67.06275,0
0.13125,0
122.643077,0
58.276981,1
31.756841,1
49.645242,0
83.658383,1
13.141373,1
208.474151,1
14.57633,0
9.63623,0
74.622428,1
30.759164,0
195.537308,1
75.422917,1
3.907594,1
129.716717,1
10.279598,0
42.596007,1
24.806143,0
237.619735,1
121.296043,1
62.40445,1
9.743778,1
40.806549,1
135.34777,1
0.625633,1
15.266333,1
166.422981,0
136.974838,1
27.37878,1
25.821487,0
59.187652,1
38.556777,0
178.975272,1
209.849044,1
78.402402,0
41.965065,0
31.398077,1
47.336311,1
29.643052,1
56.233186,1
27.511944,1
18.956958,0
20.713876,1
27.184121,0
77.716146,1
159.390088,1
125.792751,0
73.322138,0
27.167212,1
18.209714,1
5.205701,1
100.319551,0
110.980582,0
47.599712,0
52.515183,1
160.954981,0
75.413663,0
20.485607,1
53.570226,0
25.634619,1
3.610087,1
140.998128,1
127.361302,1
280.591577,1
68.899217,0
20.387748,1
79.726977,1
28.070253,1
115.750412,1
30.05706,1
180.022918,1
7.551047,0
179.17606,0
37.716719,1
104.740426,0
20.12931,1
108.710239,0
36.711477,1
14.890323,0
115.979759,0
173.517367,1
129.733241,1
72.561425,0
51.819941,0
76.678387,1
10.867026,1
52.558519,0
38.72763,0
7.404782,1
19.826722,0
69.79583,0
13.970259,1
212.142921,1
16.336715,1
8.170065,1
62.130219,0
21.21236,1
28.30913,1
6.372188,1
31.913323,1
126.461999,1
15.723873,0
131.306531,1
59.834659,1
98.505492,1
37.309789,0
2.789568,1
12.712507,1
90.824334,0
14.287176,1
74.982133,0
205.224987,1
45.581336,0
4.632992,0
6.318959,1
271.905193,1
59.571747,1
6.870906,1
8.484783,1
65.389903,1
38.916155,1
10.313858,1
2.461689,1
33.136309,0
6.576087,1
94.052248,0
15.269656,0
69.138986,1
19.929698,0
19.370444,1
7.866521,1
21.089954,1
68.95858,0
174.33009,1
88.278887,0
5.179425,1
62.532309,0
4.710587,1
98.410874,1
40.012,1
46.070267,1
251.00908,1
80.511811,0
85.860897,1
26.264523,1
7.023309,0
27.899384,1
13.214783,1
73.572622,0
6.678714,0
58.650693,1
29.666103,1
27.348303,0
68.273015,0
121.516003,1
51.106423,1
49.36944,0
31.855425,1
26.798078,1
79.754084,1
13.63188,1
3.849285,1
59.178305,1
43.456586,1
55.055202,1
78.198117,1
72.294341,0
2.243566,0
15.503551,1
9.596892,0
12.458326,0
42.467955,1
51.531642,1
100.669964,0
7.35129,1
44.120743,1
9.657622,1
22.049296,0
68.814114,1
40.952769,1
490.233443,1
91.779695,1
17.688286,1
39.669756,1
43.210895,1
115.383733,1
16.134633,0
3.718908,0
99.162375,0
23.238466,0
152.594281,0
16.451945,1
48.385945,0
36.31644,1
34.16779,1
117.732519,0
23.996597,1
15.063915,1
6.726368,1
24.099207,0
61.893904,0
65.4884,1
51.341276,0
68.206007,1
20.448558,1
37.643173,1
1.590652,1
20.61373,1
6.188834,0
90.194621,1
224.176523,1
64.027828,0
33.505137,1
119.265061,1
88.31246,0
35.146699,0
22.777647,0
94.557368,1
3.174831,0
72.924424,1
41.951681,1
1.472524,1
205.602752,1
116.670194,1
43.133584,0
4.157938,1
69.258129,1
49.2888,0
22.615061,1
0.283888,0
33.818311,1
14.9639,0
50.897019,1
32.063367,0
122.3766,1
11.25624,1
18.912986,1
67.023275,1
99.335856,1
59.686337,1
19.228528,0
3.048413,1
69.620581,0
52.094169,0
67.27463,0
5.375848,1
70.570867,1
9.664457,1
34.98363,1
158.478545,1
36.461054,0
59.872381,1
26.297015,1
0.872382,1
70.756353,1
73.214228,1
197.68338,1
5.673685,1
12.739057,0
54.333321,1
12.77619,1
40.49316,1
0.286481,0
89.200774,0
32.711205,0
12.803982,1
15.028962,1
48.246249,0
30.420745,1
72.61957,1
8.798709,1
1.043568,1
39.617481,0
41.708772,1
30.355338,1
48.883249,0
3.892923,0
4.145215,1
55.19761,0
48.53521,0
6.67846,1
131.452232,1
1.555715,1
124.009153,0
77.204935,1
30.478736,1
17.435356,1
36.757176,0
160.571093,1
34.990414,0
18.233739,1
47.704498,1
127.923656,1
44.553922,1
65.879575,1
22.055718,0
13.683936,0
27.255887,1
38.769291,1
33.067977,0
36.595338,0
11.967006,0
12.316649,0
11.787291,1
38.63807,1
0.109272,0
72.898422,0
2.13474,1
10.016704,1
23.946241,1
12.836953,1
94.077379,1
13.917639,0
54.547396,0
195.292035,1
87.263323,1
17.309049,0
58.317603,0
5.353998,1
18.630354,1
67.758074,0
31.258143,1
4.420463,1
29.274258,1
19.176539,1
24.90231,0
21.024903,1
12.713619,0
48.91528,1
9.237555,1
49.928375,1
202.260198,1
70.5279,1
91.487657,0
16.923627,1
0.242855,1
9.126581,1
45.964252,1
61.474771,1
63.373007,0
63.732894,1
8.885669,1
11.726058,0
77.658609,1
18.058467,1
104.256408,0
20.769352,1
30.591978,1
13.599475,1
24.411507,1
37.973793,0
34.619063,0
200.158851,1
23.544458,1
25.76032,1
11.836893,0
72.150232,1
22.143318,1
58.051722,1
42.094694,0
173.637408,1
68.4276,1
5.126961,0
67.174941,1
11.782133,0
141.195065,1
161.293802,1
47.870955,0
26.598093,1
27.416953,0
191.650419,1
34.537396,0
57.463538,1
8.464075,1
7.922465,0
18.233279,1
17.341882,0
39.249345,0
67.708785,1
60.385676,1
81.064711,1
128.738814,1
31.775463,1
14.820624,1
2.674188,0
120.198407,0
21.9183,0
110.170761,1
44.357001,0
366.140874,1
26.209198,1
63.792037,1
100.464276,0
29.42112,1
15.719687,1
14.983557,1
76.963382,0
25.824235,0
4.160623,1
25.294385,1
144.74026,1
32.998985,1
7.218859,1
52.924104,1
109.041268,1
101.949221,0
2.529625,0
1.529216,1
24.046835,0
12.235776,0
33.976046,1
8.018863,0
173.018898,1
8.926079,0
82.84782,0
65.828746,1
101.081091,1
13.711713,0
46.041765,1
67.175206,1
6.792138,1
25.342638,0
51.925745,1
1.922796,0
41.347452,1
88.887509,0
20.662235,0
18.353504,0
3.292277,0
53.795651,0
37.907358,1
20.253101,1
80.564043,0
10.325457,0
28.911353,1
59.560014,0
15.012842,1
60.66132,0
48.914662,1
55.927931,1
147.967765,0
29.881809,1
92.958019,0
152.810923,0
28.528029,1
57.937531,0
24.902073,1
54.014779,1
32.68701,1
5.338476,1
20.894383,1
8.102105,0
0.202415,1
4.292299,1
53.872715,0
4.588523,0
176.503373,1
37.945246,0
26.181029,1
110.902413,1
38.772302,1
61.285642,1
125.293937,1
37.34347,1
0.588625,1
12.151045,0
208.880292,1
115.912913,0
20.916294,1
2.877807,0
11.313155,1
218.753793,1
2.664381,0
15.565909,1
41.390413,1
109.404231,0
0.703111,1
36.669566,1
45.34904,0
10.48853,1
36.421033,1
57.734216,1
18.754938,1
76.362262,1
175.552387,1
24.839281,0
90.644149,0
26.695958,1
4.977204,1
111.971948,1
153.832358,1
52.57456,0
76.197411,1
4.329809,1
95.463276,1
26.807782,0
11.60944,0
169.301351,1
152.713422,1
4.098998,1
199.849034,1
17.811704,1
39.637589,1
6.625224,1
11.019483,1
9.150989,1
18.393097,1
4.872344,0
21.706563,1
11.019354,0
53.515942,1
77.477929,1
136.226162,1
29.535058,1
52.84865,1
139.281391,0
73.125276,1
92.005111,1
53.919883,1
139.207255,0
31.278179,0
66.272081,0
8.331715,1
31.769339,1
58.440809,1
6.307278,0
48.846669,1
102.21602,0
312.558446,1
70.095684,0
5.735445,1
26.349875,1
43.474042,1
8.359634,0
49.345163,1
95.191652,1
93.333141,1
60.31743,1
50.36286,0
141.942196,1
41.350496,0
16.549519,1
177.37975,1
104.094168,1
60.483791,0
76.886364,1
132.469086,0
26.455837,1
31.722924,0
251.243846,1
26.447909,1
149.28077,0
71.253132,0
3.337566,0
39.448468,1
77.6647,0
79.76527,1
117.888235,0
7.99249,0
3.637484,0
87.741107,1
40.889038,1
23.850094,1
23.951943,0
14.879921,1
93.544389,1
61.580744,0
8.110953,0
16.192716,1
34.282952,0
2.285777,1
9.500381,1
376.586742,1
140.468832,0
103.495519,1
10.777554,1
64.046837,1
6.276901,1
48.216176,1
95.679766,1
27.110305,0
55.97704,1
13.146139,0
44.332896,1
104.513407,1
20.175953,0
28.95659,1
50.926078,1
14.36901,1
133.203063,0
131.09439,1
105.098987,0
98.022174,0
12.587555,1
35.707261,1
54.936174,0
136.054219,1
27.570536,0
43.297087,1
26.881533,0
17.78415,0
34.195598,1
44.993922,1
156.353381,1
98.045704,1
44.531612,1
17.303545,1
63.388468,0
8.588827,0
140.554106,1
20.323249,1
17.161478,0
1.648732,1
30.175941,1
66.976503,1
112.393259,0
5.207116,1
102.648868,1
60.346237,1
59.227779,0
7.441998,0
8.388778,0
121.339949,1
10.778219,1
44.388807,0
41.241192,1
6.911418,1
37.366686,1
7.195128,0
45.106799,1
156.460797,1
277.460151,1
249.976719,1
22.367723,1
16.852848,1
25.08562,1
105.734432,0
5.321334,1
33.279901,1
180.045674,1
21.693273,1
85.836431,1
193.031651,1
1.16349,1
66.475903,1
30.940524,1
20.716402,1
44.554999,0
1.696463,1
29.551846,0
81.244414,1
14.845136,1
65.735415,1
62.079812,0
10.111337,1
9.165613,1
79.454438,1
20.208158,0
140.221408,1
95.624303,0
31.781922,1
66.962421,0
126.832037,1
20.099047,1
4.060678,1
23.277456,1
8.809973,1
58.735216,1
188.499086,1
230.208178,1
3.438094,0
32.836517,1
55.492567,1
68.454179,1
8.541891,0
0.160116,1
27.619898,1
11.581723,1
198.824482,1
5.615328,0
25.54757,0
91.71383,1
38.066399,1
154.348062,1
55.630738,1
217.06576,1
288.758777,1
45.692908,0
74.589268,0
48.137883,0
8.386486,1
32.833915,1
37.450669,0
18.001041,0
1.121656,0
22.777084,1
35.976477,1
11.129524,0
182.888533,1
29.348194,1
174.95993,1
4.603353,1
64.855759,1
72.84408,1
119.363573,1
360.522281,1
30.042353,0
87.255197,1
100.436177,1
2.001942,0
2.18729,1
86.530551,1
28.912545,1
64.212633,0
34.150907,0
36.177248,1
61.195268,0
163.49999,0
71.607261,1
105.830139,1
2.61534,0
13.45835,0
18.10323,0
20.487118,0
4.681495,0
69.240445,0
5.269118,1
1.265403,0
43.249844,0
31.500997,1
80.840114,0
51.299568,0
169.869322,1
51.499178,0
8.110536,0
45.091506,0
20.73118,0
57.196136,0
13.236057,1
160.350787,0
23.398677,1
30.605336,1
5.594535,0
19.481739,1
193.363863,1
71.241093,0
58.269496,0
19.407026,0
17.807193,0
43.746534,1
1.135999,0
3.70962,0
70.996063,1
25.182743,1
24.690201,1
17.295072,0
19.197452,0
71.102127,1
18.246404,0
238.535417,1
73.123429,0
70.728681,0
57.64649,0
53.811972,0
103.57727,1
90.57677,0
19.137597,1
18.0403,1
23.793471,1
25.325044,1
16.748655,1
4.521429,1
8.699483,0
214.185973,1
44.637764,0
50.330253,0
13.470148,0
88.211084,0
166.955526,1
162.838221,1
43.065152,1
69.146014,1
59.566872,0
4.215636,0
16.256384,1
0.508281,1
16.569069,0
49.337576,0
17.094163,0
14.573636,1
2.966292,1
26.66415,0
43.89594,0
112.220057,1
32.128344,0
48.270059,0
13.012382,1
38.57856,1
0.536291,1
84.865413,0
30.582137,1
159.316488,0
93.256066,1
28.294966,0
107.626708,1
11.293541,0
40.825376,1
11.837145,0
11.405915,0
80.520126,0
26.060029,0
19.527789,1
136.649057,1
73.572351,1
155.450389,0
24.015403,1
26.797835,1
2.933699,1
39.946894,1
6.639302,1
9.293941,1
236.692007,1
38.103878,1
57.860742,0
50.868155,1
3.43331,1
27.129539,1
21.311944,1
73.709497,1
15.332218,1
133.458034,0
116.952108,1
31.754235,1
9.143268,1
12.14333,1
27.023059,0
8.481963,0
100.560455,0
6.267011,0
15.037577,0
37.206406,0
402.796133,1
23.081645,0
68.151063,1
22.868219,1
180.2542,1
54.841521,0
97.771566,1
57.1844,0
5.176727,1
24.658887,1
18.763154,0
21.695358,1
24.361518,0
31.706636,1
131.485711,1
47.534978,1
83.628971,0
35.192176,0
131.095186,1
203.818547,1
45.704221,1
15.602082,1
112.359873,1
60.839554,0
5.852629,0
98.69586,1
26.529207,1
0.260202,0
189.920259,1
365.711763,1
66.633336,1
65.956955,1
195.460623,1
130.23015,0
28.445218,0
8.15728,1
12.697489,1
142.7148,1
29.180541,1
92.923996,1
125.611306,0
108.967014,0
24.160021,1
62.86129,0
24.994106,0
75.268581,1
30.911356,1
38.673805,1
13.229379,1
135.464062,1
12.655807,1
3.239475,0
57.076405,0
84.71605,1
10.135156,1
72.248244,1
53.059079,0
34.993451,1
71.007007,0
4.186802,1
190.967396,1
7.707939,0
121.124621,0
44.816692,1
75.538878,0
49.421895,1
16.950215,1
11.645133,1
107.797756,1
25.252638,1
47.090886,0
9.313069,1
34.940763,1
72.480383,1
139.985607,1
6.175827,0
61.14581,1
18.341539,0
128.740122,1
13.998882,1
179.633646,1
2.513661,1
6.395748,1
14.814484,1
36.071421,1
24.978201,1
42.09389,1
82.046615,1
11.684401,1
99.417506,0
84.899078,0
36.327124,1
105.793884,1
59.873389,1
193.745756,1
67.055754,1
6.798937,1
34.401867,0
46.830958,0
18.81449,0
33.952121,0
1.866634,1
18.145857,1
22.380734,1
49.730216,1
18.978328,0
207.375414,1
0.77029,1
45.218866,1
12.14887,1
4.71526,0
77.608713,1
50.345179,1
12.555606,1
21.410826,1
54.706935,0
2.363791,1
89.902219,1
66.540627,0
7.783128,0
107.4288,0
38.938449,0
42.689815,1
102.848139,0
51.535204,1
23.300063,1
7.675132,1
278.925246,1
83.074125,1
29.472364,0
70.699071,1
11.875405,0
31.654543,0
116.626482,1
74.749534,1
115.511639,1
100.467809,1
10.342731,0
44.837728,1
8.658038,1
53.78146,1
33.161357,0
76.30789,1
2.893488,1
109.6069,1
2.683494,0
32.448953,1
88.682741,0
30.925325,1
5.277673,1
6.718199,0
64.802812,0
23.480697,1
72.830093,0
68.261263,1
3.017313,1
10.201708,1
47.364227,1
28.967639,1
38.199718,0
19.875927,1
8.856238,0
0.170985,1
19.918456,1
8.739909,1
44.216634,0
52.080478,1
71.192904,1
145.148566,0
45.498288,0
51.627168,0
27.251772,1
38.125934,1
122.354207,0
47.560046,0
127.663541,0
95.849864,0
13.772521,1
78.410331,1
55.250092,1
39.902147,1
113.938132,1
167.709604,0
25.904101,0
44.043824,1
110.630392,0
40.821208,0
47.589861,1
92.32077,1
19.193157,0
97.651874,1
21.819947,1
53.051656,1
2.81199,0
57.55196,1
60.197131,1
77.979024,0
36.079417,0
30.239296,1
2.079191,0
70.122425,0
48.40266,0
74.329165,0
67.668518,0
2.522509,1
15.032583,0
87.098526,1
13.299745,1
166.236975,0
203.965711,1
22.689504,0
0.832411,0
53.772521,1
63.680406,0
59.435665,1
29.889084,0
23.151621,1
6.588103,1
40.867194,1
50.775805,1
9.362095,1
49.334659,0
43.785192,1
130.227385,1
12.249591,1
92.284256,1
10.850002,1
56.934117,1
12.050187,0
56.248945,1
7.990926,1
13.55445,0
77.340309,0
9.99186,1
71.490288,1
182.715436,1
142.684951,0
16.113503,1
152.548698,0
56.620088,0
34.578783,0
47.799161,1
113.966635,0
139.030835,1
39.201624,0
84.54332,1
71.819711,1
148.835011,1
25.655054,0
8.161775,0
129.293748,1
7.069932,1
101.773683,1
50.349373,0
94.99531,1
24.411825,0
98.793185,1
107.296876,1
62.469493,0
3.249905,0
14.305028,1
22.270481,1
24.117131,1
65.788956,1
16.235262,1
29.861651,1
87.490218,0
39.413489,1
87.742508,0
57.307458,1
21.747617,1
21.783156,1
65.863753,0
10.136961,1
64.063007,1
10.942105,1
26.918314,0
33.047603,1
18.552253,1
2.457366,1
64.820253,1
0.248766,1
38.711815,1
30.096022,0
13.904686,1
44.575589,0
35.650276,0
4.822499,1
116.543193,0
173.833184,1
9.844206,1
41.671867,1
4.249694,0
7.699028,0
28.125692,0
15.901791,1
183.677179,1
79.810752,1
11.074157,0
9.114644,1
37.069327,1
12.29689,0
49.422954,1
6.811978,1
65.742161,0
55.613663,1
0.534561,0
48.746748,1
131.704254,1
20.192015,1
7.970463,1
66.979417,1
36.399115,1
157.94433,1
3.787575,1
174.327012,0
8.978439,1
40.18352,0
14.13402,1
54.984747,0
93.520303,1
129.993687,1
36.786726,1
10.544723,0
90.585332,1
83.476738,1
3.430663,1
10.086638,0
71.768772,1
129.66695,1
138.077975,1
10.503216,0
144.517635,0
20.777827,1
231.304618,1
33.124419,0
63.787057,0
86.04038,0
9.042888,0
2.299928,1
19.640741,0
56.934339,1
4.051212,0
202.5756,1
10.110068,0
12.385719,1
3.912936,0
99.531866,0
27.139751,0
20.371093,0
40.731197,1
33.831613,1
0.554727,0
6.90657,0
55.79954,1
20.114689,0
121.475279,0
44.575456,1
92.770729,0
0.252554,1
18.145459,0
20.289414,1
19.349124,0
18.867425,0
17.560181,1
22.076285,0
79.411951,0
97.797274,1
8.362569,0
6.059215,1
151.507733,0
22.947207,1
49.127833,1
0.559323,1
63.308288,1
52.833335,0
36.201023,0
79.064326,1
43.651891,1
32.534827,1
8.598226,1
60.692971,1
28.704652,1
20.715438,0
47.094185,1
14.546596,1
40.10934,1
42.705976,0
19.672379,1
0.029555,0
21.125995,1
32.286136,1
62.986948,1
2.428555,0
5.846855,1
12.601491,1
54.578514,0
31.980439,1
73.666918,1
79.156362,1
67.677553,1
33.452722,0
5.839124,1
14.212538,1
69.293208,1
22.036084,1
15.848917,1
16.599707,1
147.966966,0
201.394175,1
13.898376,0
3.149234,1
56.005374,1
3.351848,1
38.137062,0
21.089227,1
68.538494,1
65.090568,1
72.598801,1
50.19339,1
301.30509,1
7.287845,0
176.309293,1
51.037393,0
51.545375,1
88.260338,0
16.082654,1
67.85762,0
185.901568,1
109.623121,1
5.57509,0
50.076408,1
75.872928,1
66.272354,1
44.881056,1
40.673766,0
12.181636,0
20.195366,1
85.839561,0
16.849623,1
29.714487,0
2.722308,1
67.79412,0
3.096864,1
67.365554,1
90.962879,1
17.920637,1
99.442864,1
10.278906,1
86.454013,0
6.754777,0
19.300096,0
70.479441,0
29.504919,1
31.617459,1
87.75956,0
33.993535,1
20.374116,1
21.103218,1
34.487395,1
19.129625,1
40.976177,1
85.462439,0
0.109836,1
7.32277,0
39.969752,0
6.981168,1
154.139786,1
41.437721,1
0.302738,0
37.986483,1
37.674861,1
24.097462,0
59.137739,1
27.706987,1
53.29678,1
1.290807,0
22.548163,1
3.144753,1
17.836659,0
57.382271,0
154.592196,1
16.189639,0
47.128423,0
4.046148,0
229.416734,1
28.94165,0
52.277669,1
197.467984,1
19.419104,1
76.174587,1
23.197692,0
161.066762,1
5.196342,1
37.204361,1
73.845463,1
0.584387,1
14.310877,0
54.155861,0
93.403411,1
60.286393,1
102.154733,1
37.042239,0
6.967507,1
18.092536,0
131.67796,0
35.517138,1
33.837947,1
89.617561,1
24.476389,0
36.049891,0
16.631476,1
43.199513,1
2.232436,1
86.027895,0
41.108748,1
27.927103,1
30.276902,0
4.638605,0
149.799826,0
1.947924,1
17.184793,0
103.426402,0
5.04244,0
46.893059,1
205.773239,1
5.674387,1
72.148495,1
1.36899,1
32.841787,0
13.707425,0
127.226864,0
18.047624,0
33.50494,1
37.795121,1
101.644137,0
15.103851,1
1.903421,1
367.173721,1
1.640195,0
95.673841,1
2.020297,1
10.625803,1
32.605395,1
2.730227,1
52.420907,1
30.018351,1
2.907883,0
19.121877,1
64.201313,1
44.229364,1
23.34352,1
198.987966,1
7.672106,0
135.619185,0
13.47835,0
28.126304,0
15.600615,1
46.934541,0
49.737925,1
2.061757,0
28.913325,0
133.314931,1
8.060079,1
42.199156,0
2.402347,0
15.382542,1
23.193767,0
32.479314,1
5.851223,0
0.079531,1
52.933853,0
14.343941,1
83.712095,1
12.047606,0
47.726169,1
57.972556,1
45.42999,1
189.452734,1
115.370186,1
1.561224,1
115.96203,0
58.482293,0
21.843553,1
6.277452,0
79.081173,1
111.178981,1
60.009836,0
75.73386,1
95.829847,1
4.231519,1
6.162695,0
65.820875,0
37.025182,0
62.336876,0
1.925988,0
16.483025,1
12.239246,0
27.026358,1
62.531724,1
26.764325,1
86.75673,1
78.153725,1
64.230168,1
12.820107,1
63.392725,1
31.664426,1
66.810522,0
31.131104,1
7.330535,1
148.099353,1
148.036857,0
82.369051,0
114.039883,1
95.061637,1
15.404707,0
5.24481,1
27.746947,1
4.974489,1
64.1315,1
1.357221,1
14.410141,0
81.393157,0
76.294133,1
4.346219,1
28.346808,1
30.753256,0
14.678734,1
12.184154,0
49.696105,1
49.880469,1
444.324058,1
52.063297,0
13.424622,1
15.527034,0
4.09049,1
29.827175,0
41.112778,1
66.216874,1
47.574214,0
20.796323,0
124.367155,0
16.594087,0
62.328418,0
4.624805,0
70.176459,0
18.319115,1
38.625737,1
83.737323,1
46.751981,0
36.448363,1
65.337105,1
38.561777,1
16.202689,0
6.388088,1
20.321285,0
2.583549,1
95.138696,1
45.768783,1
79.679222,0
60.812294,1
10.245576,1
14.11174,1
142.36155,1
44.349613,0
30.829285,1
180.795698,1
7.793746,1
16.131562,1
1.173685,0
3.812554,1
27.487883,0
16.488529,0
5.384755,1
79.673482,0
81.592447,1
68.152094,1
23.278789,0
19.719346,1
8.02248,1
7.914029,0
14.938498,0
11.921814,1
142.29326,1
87.488335,0
113.270445,1
47.584677,1
76.82751,0
85.144123,1
8.22734,1
92.272937,1
54.337596,1
142.516354,1
18.589426,1
5.325092,0
77.287212,1
24.283766,0
68.633028,1
44.385223,0
1.973195,1
48.164984,0
168.956143,1
82.042115,0
94.817633,1
40.732724,1
29.58908,1
25.771286,1
54.067447,1
59.464828,1
54.376755,1
28.784568,0
126.598628,0
67.835426,0
34.623125,0
61.675566,0
20.429944,0
0.754035,1
63.950055,1
39.754983,0
7.82692,0
9.572344,1
67.2242,0
33.972114,1
6.662695,1
33.276686,1
108.692675,0
23.564758,1
7.72411,1
36.200399,0
13.70903,0
26.730406,1
52.003913,1
9.462224,1
12.586015,1
68.788963,1
156.060591,0
56.702044,0
8.851014,1
4.074962,1
20.784829,0
111.689114,1
90.877334,0
15.346115,0
36.967097,1
34.583744,1
11.767296,0
20.416699,0
18.6778,1
21.323046,0
42.010732,1
28.704207,0
6.2691,1
52.650649,1
32.941472,1
81.253158,1
117.412704,1
9.93147,1
5.547215,0
55.930481,1
41.287285,0
3.150877,1
36.539392,0
89.984021,0
60.595254,1
64.792378,0
165.021883,1
33.339126,0
9.275199,0
61.849429,0
117.886171,1
61.801667,1
119.027427,1
84.160003,0
87.264645,1
1.686105,0
123.697111,0
153.518428,0
77.097017,0
20.359658,0
33.66294,1
16.830981,1
124.875916,0
48.453641,1
63.160269,0
8.002817,1
1.146375,1
111.155955,1
21.215046,0
88.246882,1
62.086111,1
12.231074,1
106.892628,0
161.926003,0
77.37858,0
2.326847,0
4.871862,1
53.302643,1
73.809615,1
20.509731,1
7.111025,1
53.528767,0
1.455061,0
111.719497,0
139.008727,1
31.505736,0
1.331216,1
44.511126,1
119.768296,0
99.838957,0
31.062508,1
8.290403,1
14.54938,1
29.488744,1
9.057328,1
50.4084,1
146.699534,0
9.270502,0
11.138727,0
54.257385,1
55.022129,1
29.365043,1
48.496988,0
227.154668,1
1.291871,1
18.671273,1
26.911677,0
3.256104,1
66.94556,0
52.342489,1
82.038028,1
9.557548,1
43.036247,1
2.507969,1
18.043269,1
132.694837,1
20.231854,1
5.586055,0
37.863842,0
8.559325,0
96.758992,0
