@relation 'mini-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-2,5-7,9,11-13'

@attribute average_login_time numeric
@attribute average_time_per_learning_session numeric
@attribute abandoned_learning_sessions numeric
@attribute preferred_difficulty_level {Low,Medium,High}
@attribute target numeric

@data
12.346301,117.806826,3,High,0
12.728938,106.126439,5,Low,1
14.255447,6.696516,3,High,0
14.606221,46.658703,3,Medium,1
19.39288,183.470916,4,Medium,1
18.910968,11.570615,5,Medium,1
12.921301,62.678711,3,Medium,1
13.648604,8.8816,3,Low,1
12.686269,8.886189,2,Medium,0
18.671391,88.138987,4,Low,0
16.365867,33.484359,1,High,1
16.251946,43.479845,3,Low,1
12.243547,1.710162,4,Medium,1
10.461235,33.240395,2,Low,1
13.294828,62.832782,2,Low,0
10.24813,4.502375,5,Low,1
10.623112,39.85539,3,Medium,1
15.411618,183.94293,4,Low,1
18.735608,73.127728,4,Low,1
14.105771,5.3396,2,High,1
15.914762,83.409732,4,Medium,1
13.515521,63.361839,3,Medium,1
17.650231,39.879601,3,Low,1
14.973219,16.438727,5,Low,1
20.487263,17.682068,4,Low,1
20.075537,71.433676,3,Low,0
18.515646,25.31098,2,Low,1
16.743728,39.90413,1,Low,1
15.563864,97.23453,3,High,1
17.255549,21.239569,3,Medium,1
20.351005,44.420885,1,Medium,1
17.266874,37.975449,2,Low,1
13.441688,5.263719,1,Medium,0
14.0562,6.158799,7,Low,0
9.518813,12.149182,3,Low,1
16.089007,6.353139,4,High,0
7.810088,32.344656,3,Low,1
10.669636,12.5475,4,Low,0
15.345679,91.899531,1,Low,1
15.001035,16.463849,3,Low,1
11.750728,101.803792,3,High,0
20.622874,41.650003,3,Medium,0
16.032028,20.627322,7,Low,0
9.869347,37.76364,2,High,1
13.066075,14.356539,5,High,0
14.781717,24.39499,6,High,1
16.935862,16.784777,2,Medium,1
15.618218,127.260695,2,Low,1
13.430148,0.215706,4,Low,0
15.657819,38.996819,1,Medium,1
12.84705,37.146315,4,High,1
12.294355,41.920552,2,Low,1
15.363645,1.810162,4,High,0
16.131593,41.625566,3,Medium,1
17.079093,19.053212,1,High,1
15.751428,36.244055,5,Medium,1
17.858195,11.014287,7,Low,0
16.05096,18.079415,4,Low,0
17.015621,19.314348,4,Low,1
10.387472,104.525675,3,Low,1
14.32832,20.623047,5,Medium,1
10.133088,9.161234,2,Low,1
15.538308,20.459379,2,Low,0
13.391789,46.165358,3,Medium,1
11.551212,45.210513,5,Low,1
18.801964,0.687711,3,Low,0
13.936961,55.125978,4,High,0
15.458106,26.996907,0,Medium,0
11.661776,180.267873,3,Medium,1
12.233601,118.67661,2,Medium,0
12.566573,31.840554,0,High,0
14.033834,14.043347,6,Medium,1
12.487227,59.202171,3,Low,1
15.327874,46.054412,4,Medium,1
16.904747,16.368091,2,High,1
20.821241,146.226814,4,Low,1
13.082608,90.860809,3,Medium,0
14.438953,7.830157,2,Low,1
14.96945,185.660226,7,Low,1
15.206442,16.498795,4,Medium,0
13.096873,108.057886,4,Low,0
16.284813,2.332847,3,Low,1
18.23475,113.644967,1,Low,1
15.230903,0.083314,2,High,1
13.750282,21.824857,3,Low,0
14.114083,128.021867,1,Medium,1
15.112325,74.660392,3,High,1
17.591094,17.840971,8,Low,0
12.903205,86.725753,4,High,1
18.104974,69.99619,1,Low,1
14.230061,14.461981,3,Low,1
24.962679,4.850878,5,Medium,0
12.520548,49.824743,2,Low,1
17.835025,14.582878,4,Low,0
14.261522,30.85509,1,Low,0
12.113204,21.398931,3,High,0
12.298182,53.700435,5,Low,1
15.267021,9.636096,2,Medium,1
11.94953,171.684511,3,Low,1
12.457103,140.706442,3,Low,1
11.485259,62.306364,2,Low,0
16.410546,127.107168,6,Medium,0
15.85369,101.290947,3,Low,1
16.223592,22.458535,3,Medium,1
14.124611,8.320261,3,Low,1
14.227659,69.09248,1,Low,1
15.543454,0.305197,0,Low,0
14.053081,106.641149,2,Low,1
15.550167,80.316315,2,Medium,1
16.024022,40.913154,1,High,0
14.198424,19.02216,3,Low,1
12.008784,342.159705,4,Low,1
11.822381,43.364562,5,Low,0
11.575434,51.212499,7,Low,1
11.914758,63.667638,3,Low,1
13.607632,41.231592,2,High,1
17.368928,25.167586,4,Medium,0
20.133523,42.304822,3,Medium,1
11.576613,18.155254,0,Low,0
14.260115,111.6579,3,Low,1
12.411706,92.871915,1,Medium,1
17.609377,51.793778,5,Low,1
16.19244,88.925457,2,Low,0
12.601003,87.079781,4,Medium,1
17.116221,160.099609,4,Low,0
13.929211,68.589054,2,Low,1
15.015545,54.548577,2,Low,0
23.267499,23.563247,2,Medium,1
16.083938,198.467609,4,High,1
15.216777,92.568253,3,Medium,1
16.879652,119.873532,5,Medium,0
17.134372,9.746375,3,High,0
18.551579,84.288317,3,Low,0
9.798361,33.503648,1,High,1
13.395434,53.185396,2,Low,0
9.275713,1.463171,3,Medium,1
13.965569,94.664394,5,Low,1
16.222271,52.871917,4,Medium,0
17.615483,123.504316,5,High,0
14.856897,274.424184,4,Low,1
12.689193,46.869146,3,Medium,1
13.012938,124.224975,3,Medium,1
13.507193,82.456658,4,High,1
16.149462,82.876062,4,Medium,0
16.727043,4.079308,2,Medium,0
18.643112,9.352149,4,High,1
10.508803,30.015454,3,Low,0
19.477858,131.730792,2,Low,1
14.069632,36.737955,6,Low,1
15.799798,125.462866,2,Low,1
18.985464,38.724913,1,High,0
12.097716,9.345023,4,High,0
9.675233,11.732724,4,Low,1
12.982606,94.166298,2,Medium,0
15.690541,8.706743,1,High,1
14.028061,36.746797,1,Low,0
16.528026,20.183847,2,Low,1
10.317039,46.138205,2,Medium,1
19.853656,51.434934,4,Low,0
17.795677,13.01004,3,Medium,1
11.64881,0.41153,2,Low,0
19.271223,9.719435,5,Medium,1
18.240931,41.38835,3,High,1
15.879481,40.860173,4,Medium,0
11.508514,54.181707,2,Low,1
14.624106,29.01376,2,Low,1
14.550102,13.786893,5,Medium,0
11.987838,5.181669,3,High,0
15.286396,246.900195,2,Low,1
14.462727,88.999813,2,Low,1
21.517296,230.37451,4,High,1
14.999675,82.203295,5,Low,1
12.674378,40.123757,4,Low,1
16.26915,85.990745,4,Low,0
14.54407,21.674583,3,Medium,0
11.409079,50.031287,3,Low,0
12.058325,87.612872,3,Low,1
14.29941,85.973791,9,Medium,1
13.911795,12.016835,1,Low,0
15.717822,54.191764,2,Low,1
13.453871,19.123818,5,Medium,1
16.695392,12.196169,5,Medium,0
17.873301,48.631453,3,Medium,1
9.894107,23.463153,4,Medium,1
12.314085,0.873285,6,High,1
17.903623,38.148391,3,Medium,1
13.310567,7.686773,6,High,0
15.195793,42.215819,5,High,1
15.133404,59.666457,2,High,0
13.520259,56.280687,1,Low,0
11.641122,16.808537,2,Low,1
14.37646,100.407307,3,Low,0
18.382262,23.020028,1,Medium,1
15.399742,81.954293,7,Low,0
21.283635,0.89005,5,Medium,0
19.07333,15.221927,5,Medium,0
16.503871,51.085512,3,High,0
18.410107,42.875883,3,Low,1
14.70263,26.312537,1,Medium,0
11.837196,430.85026,0,Low,1
17.325669,20.972365,1,High,0
13.550469,16.520844,3,High,0
17.760104,9.702228,5,High,0
13.581126,26.909398,5,High,1
12.1543,83.042806,10,Medium,0
17.254964,192.803119,5,Medium,1
17.620433,200.072599,1,Low,1
16.672501,26.377722,7,Low,0
18.267579,14.584407,3,Medium,1
15.311473,63.481468,4,Low,1
15.895538,142.971964,6,Low,0
17.470047,3.455881,2,Low,1
12.908596,16.047292,2,Medium,0
18.011432,15.214467,1,Medium,1
18.1908,232.105206,4,Medium,1
16.126804,22.989716,2,Low,1
17.323484,122.240253,3,High,1
12.332186,0.182773,5,Medium,0
11.782589,32.527692,3,Medium,0
14.718663,11.123166,4,High,1
20.264719,143.852824,3,Medium,1
17.921158,139.931947,2,High,1
16.52384,42.886741,4,Low,1
13.272311,15.315588,3,High,0
14.73745,49.261245,4,Low,0
16.627444,4.91263,4,Medium,0
19.651948,285.829014,3,Medium,1
14.295367,65.955972,7,High,0
11.460332,157.455828,1,Low,1
13.448701,1.793121,1,Low,1
16.688169,26.295225,3,Low,0
15.580178,121.932863,1,Low,0
18.218791,61.506493,0,Medium,0
11.14426,83.539875,2,Medium,1
16.401126,70.072461,4,Low,1
10.984781,10.320107,2,High,0
18.380529,14.757209,5,Low,1
13.748018,43.67193,3,Medium,1
16.256657,17.757787,4,Low,1
13.869805,67.06275,1,Low,0
12.036342,0.13125,1,Low,0
13.555197,122.643077,4,High,0
7.67179,58.276981,3,High,1
14.977905,31.756841,0,Low,1
15.929893,49.645242,6,Medium,0
11.007563,83.658383,3,Medium,1
13.85754,13.141373,2,Medium,1
12.856175,208.474151,3,Low,1
14.157621,14.57633,0,Medium,0
16.351932,9.63623,3,Medium,0
20.135874,74.622428,4,Low,1
7.947348,30.759164,1,High,0
15.916193,195.537308,1,Low,1
14.359717,75.422917,2,Low,1
9.927595,3.907594,7,Low,1
15.065017,129.716717,3,Low,1
15.568796,10.279598,2,Low,0
12.143677,42.596007,2,Low,1
14.743682,24.806143,5,Medium,0
20.777591,237.619735,5,Low,1
11.499129,121.296043,3,Low,1
15.723903,62.40445,2,Medium,1
9.790072,9.743778,2,Low,1
13.237956,40.806549,3,Medium,1
15.562151,135.34777,2,High,1
14.15653,0.625633,1,Low,1
13.796298,15.266333,2,High,1
14.106433,166.422981,2,Medium,0
13.702768,136.974838,3,Low,1
14.114474,27.37878,3,Low,1
9.764839,25.821487,3,Low,0
12.149351,59.187652,2,Medium,1
15.563411,38.556777,4,Low,0
11.155521,178.975272,3,Low,1
15.16023,209.849044,4,Low,1
16.120789,78.402402,5,Medium,0
16.307126,41.965065,1,Low,0
12.234795,31.398077,3,Medium,1
14.760228,47.336311,3,Low,1
19.341746,29.643052,3,Medium,1
12.456451,56.233186,1,Medium,1
17.603549,27.511944,2,Medium,1
16.243618,18.956958,2,Medium,0
17.669986,20.713876,1,Low,1
16.52961,27.184121,4,Low,0
16.836229,77.716146,5,High,1
14.028492,159.390088,2,Low,1
9.491079,125.792751,1,Medium,0
19.343023,73.322138,3,Low,0
14.216883,27.167212,5,Medium,1
13.106646,18.209714,4,Medium,1
17.443782,5.205701,4,Medium,1
13.799944,100.319551,1,Medium,0
15.591042,110.980582,7,Low,0
10.744051,47.599712,4,Medium,0
18.739244,52.515183,1,Low,1
13.161906,160.954981,1,Medium,0
15.188843,75.413663,3,Low,0
12.617399,20.485607,4,High,1
11.599427,53.570226,0,Low,0
16.547333,25.634619,2,Low,1
14.771724,3.610087,3,Medium,1
15.678342,140.998128,5,Low,1
16.549348,127.361302,2,Medium,1
13.481373,280.591577,2,Low,1
20.341086,68.899217,1,Low,0
19.765385,20.387748,2,High,1
12.799212,79.726977,2,Low,1
9.071004,28.070253,1,Low,1
11.191243,115.750412,1,Low,1
10.015234,30.05706,4,Low,1
15.334861,180.022918,6,Low,1
12.139113,7.551047,3,Low,0
13.918541,179.17606,1,Low,0
15.182851,37.716719,5,Low,1
12.433356,104.740426,2,Medium,0
10.595437,20.12931,2,Medium,1
11.285431,108.710239,1,High,0
14.167449,36.711477,1,High,1
11.649132,14.890323,3,Low,0
16.640162,115.979759,6,Low,0
8.891296,173.517367,1,Low,1
13.697617,129.733241,4,Low,1
14.504704,72.561425,1,Low,0
13.44558,51.819941,4,Medium,0
17.088587,76.678387,2,Low,1
13.169711,10.867026,1,High,1
18.830022,52.558519,7,Low,0
14.50361,38.72763,3,Low,0
15.603405,7.404782,0,Low,1
18.544146,19.826722,0,High,0
17.777064,69.79583,1,Medium,0
16.080613,13.970259,3,Medium,1
11.562853,212.142921,0,High,1
13.362654,16.336715,3,Medium,1
15.208418,8.170065,8,Low,1
16.016611,62.130219,4,Medium,0
18.943918,21.21236,2,Medium,1
18.470528,28.30913,5,Low,1
13.743267,6.372188,4,Low,1
9.485343,31.913323,5,Low,1
14.669684,126.461999,2,Medium,1
17.730904,15.723873,3,Low,0
14.127889,131.306531,2,Medium,1
16.814823,59.834659,4,Low,1
12.418983,98.505492,0,Medium,1
13.282131,37.309789,3,High,0
16.34523,2.789568,6,Low,1
10.431615,12.712507,0,Low,1
13.842644,90.824334,3,High,0
17.716278,14.287176,2,High,1
14.695006,74.982133,2,High,0
17.511307,205.224987,4,Low,1
11.750572,45.581336,4,High,0
15.900423,4.632992,2,High,0
13.327695,6.318959,3,High,1
15.129499,271.905193,5,Low,1
13.988964,59.571747,3,Low,1
16.686004,6.870906,5,Low,1
17.783225,8.484783,1,Medium,1
19.655102,65.389903,1,Low,1
13.691552,38.916155,5,High,1
14.29058,10.313858,0,High,1
13.69009,2.461689,2,High,1
11.486607,33.136309,0,Medium,0
16.888985,6.576087,5,Low,1
15.749729,94.052248,0,High,0
13.877435,15.269656,2,High,0
13.818493,69.138986,3,Low,1
11.688949,19.929698,5,High,0
14.366947,19.370444,3,Low,1
13.304294,7.866521,2,Low,1
16.789818,21.089954,4,Low,1
16.246251,68.95858,1,Medium,0
9.535496,174.33009,2,Low,1
11.671336,88.278887,4,Low,0
11.29596,5.179425,8,Low,1
13.361109,62.532309,6,Medium,0
15.278569,4.710587,2,High,1
15.785732,98.410874,4,Low,1
9.504715,40.012,5,High,1
17.575506,46.070267,4,Low,1
14.532739,251.00908,1,Medium,1
12.261855,80.511811,8,Medium,0
11.594511,85.860897,5,Medium,1
24.308934,26.264523,2,Low,1
17.320932,7.023309,5,Medium,0
23.098215,27.899384,3,High,1
17.73389,13.214783,2,Low,1
15.246578,73.572622,1,High,0
16.521131,6.678714,3,Low,0
16.970243,58.650693,2,Medium,1
16.46295,29.666103,2,Low,1
18.417188,27.348303,1,Low,0
13.992784,68.273015,2,Medium,0
13.116797,121.516003,3,High,1
17.735224,51.106423,6,Medium,1
18.282049,49.36944,4,Low,0
14.562324,31.855425,2,Low,1
15.393423,26.798078,2,Low,1
10.389026,79.754084,3,Low,1
11.208753,13.63188,1,Medium,1
12.205477,3.849285,3,High,1
18.062398,59.178305,10,Medium,1
16.918226,43.456586,4,Medium,1
14.392199,55.055202,4,Medium,1
12.218598,78.198117,2,High,1
21.392127,72.294341,5,Low,0
19.246734,2.243566,1,High,0
10.633098,15.503551,1,Medium,1
9.686425,9.596892,4,Medium,0
14.292262,12.458326,4,Medium,0
13.851792,42.467955,4,Low,1
13.336061,51.531642,4,Low,1
9.876626,100.669964,3,Medium,0
13.517453,7.35129,2,High,1
20.423336,44.120743,5,High,1
13.314087,9.657622,4,Medium,1
17.534524,22.049296,2,High,0
11.808242,68.814114,3,Low,1
18.610505,40.952769,3,Medium,1
14.300585,490.233443,3,High,1
16.411514,91.779695,1,Low,1
14.368943,17.688286,2,Low,1
17.56775,39.669756,2,Medium,1
13.154786,43.210895,4,Low,1
13.506864,115.383733,3,Low,1
18.556863,16.134633,3,Low,0
14.406762,3.718908,3,Low,0
13.119157,99.162375,4,Medium,0
15.678637,23.238466,1,Medium,0
17.89644,152.594281,4,Low,0
19.859132,16.451945,3,Medium,1
14.776233,48.385945,3,Medium,0
18.278977,36.31644,1,Medium,1
11.761739,34.16779,1,Medium,1
17.970687,117.732519,5,Low,0
11.197037,23.996597,3,Low,1
12.751937,15.063915,4,Low,1
10.990818,6.726368,4,Medium,1
15.043861,24.099207,6,High,0
16.248464,61.893904,3,High,0
15.70019,65.4884,3,Low,1
17.467901,51.341276,3,Low,0
17.250192,68.206007,2,Low,1
17.33655,20.448558,2,Medium,1
10.630179,37.643173,1,High,1
18.170033,1.590652,3,Medium,1
16.824507,20.61373,5,Medium,1
15.536604,6.188834,3,Low,0
16.348218,90.194621,4,Low,1
10.784996,224.176523,4,Low,1
14.030114,64.027828,2,Low,0
12.924433,33.505137,5,High,1
16.306142,119.265061,2,Low,1
22.277991,88.31246,0,Medium,0
11.333915,35.146699,7,Low,0
21.155725,22.777647,6,Low,0
19.633786,94.557368,7,Medium,1
22.648649,3.174831,5,Medium,0
15.146118,72.924424,2,Low,1
16.120523,41.951681,1,Medium,1
12.378017,1.472524,2,Medium,1
14.699964,205.602752,2,Low,1
16.284237,116.670194,6,Low,1
14.99283,43.133584,2,Low,0
11.438197,4.157938,4,Low,1
15.048386,69.258129,2,Medium,1
18.467948,49.2888,4,Low,0
19.506832,22.615061,3,Medium,1
12.982133,0.283888,0,High,0
13.574991,33.818311,6,High,1
16.371615,14.9639,3,Low,0
14.537687,50.897019,3,High,1
17.605014,32.063367,3,Low,0
14.404913,122.3766,1,Low,1
14.081351,11.25624,5,Low,1
14.536582,18.912986,3,High,1
13.299717,67.023275,3,Medium,1
12.27956,99.335856,4,Low,1
18.423978,59.686337,2,Low,1
18.950539,19.228528,2,Low,0
13.759311,3.048413,4,Low,1
18.090985,69.620581,3,Low,0
18.010251,52.094169,1,High,0
14.498766,67.27463,6,Medium,0
15.900663,5.375848,4,Low,1
12.407251,70.570867,2,Low,1
13.940399,9.664457,2,Low,1
20.24717,34.98363,2,Low,1
12.572861,158.478545,4,High,1
12.587247,36.461054,7,Low,0
16.998883,59.872381,4,Low,1
18.19666,26.297015,2,Medium,1
15.9265,0.872382,8,Medium,1
17.314495,70.756353,1,High,1
11.558744,73.214228,3,Low,1
10.869708,197.68338,3,Low,1
20.195756,5.673685,4,Low,1
20.001148,12.739057,1,Medium,0
13.456547,54.333321,3,Medium,1
10.946494,12.77619,3,Medium,1
21.979213,40.49316,5,Low,1
17.404426,0.286481,2,High,0
16.755079,89.200774,1,Low,0
19.615843,32.711205,4,Medium,0
9.547241,12.803982,4,Low,1
11.713951,15.028962,4,Low,1
17.040138,48.246249,2,Low,0
13.672448,30.420745,4,High,1
14.627083,72.61957,2,High,1
16.477815,8.798709,4,Low,1
14.641415,1.043568,3,High,1
15.86425,39.617481,4,High,0
10.592291,41.708772,1,Low,1
19.798709,30.355338,1,Low,1
14.747126,48.883249,2,Low,0
14.648709,3.892923,2,Medium,0
17.371898,4.145215,1,Medium,1
14.231001,55.19761,5,High,0
14.676627,48.53521,5,Low,0
14.349003,6.67846,1,Low,1
17.560852,131.452232,2,Low,1
10.541073,1.555715,1,Low,1
18.334834,124.009153,5,Low,0
19.700481,77.204935,5,Medium,1
14.812,30.478736,1,High,1
14.448779,17.435356,8,Medium,1
18.703647,36.757176,5,Medium,0
18.086443,160.571093,5,Low,1
16.371364,34.990414,3,Low,0
15.389207,18.233739,2,High,1
18.912047,47.704498,3,High,1
16.397494,127.923656,1,High,1
17.693285,44.553922,6,High,1
18.736093,65.879575,5,Low,1
13.428553,22.055718,4,Medium,0
13.031673,13.683936,1,Low,0
14.509741,27.255887,3,Low,1
13.258324,38.769291,5,High,1
15.769022,33.067977,3,Low,0
16.972207,36.595338,3,Medium,0
19.066001,11.967006,3,Medium,0
12.953808,12.316649,3,Medium,0
16.164649,11.787291,2,Low,1
16.498174,38.63807,8,Low,1
14.136963,0.109272,3,Medium,0
15.508263,72.898422,3,High,0
18.599447,2.13474,4,High,1
18.148378,10.016704,4,Low,1
21.688688,23.946241,6,Medium,1
15.914944,12.836953,2,High,1
18.094613,94.077379,0,Low,1
14.194862,13.917639,6,Low,0
10.791307,54.547396,3,Low,0
18.835158,195.292035,0,Low,1
22.363634,87.263323,2,Low,1
15.011225,17.309049,4,Medium,0
18.525313,58.317603,7,Medium,0
15.672058,5.353998,5,Low,1
11.379273,18.630354,4,Medium,1
9.318122,67.758074,3,Low,0
12.749809,31.258143,2,Low,1
10.851631,4.420463,1,Medium,1
13.067678,29.274258,7,High,1
18.09195,19.176539,5,Low,1
12.615518,24.90231,0,Low,0
10.574633,21.024903,2,High,1
19.101075,12.713619,1,High,0
11.2075,48.91528,3,Medium,1
19.303416,9.237555,1,High,1
15.48033,49.928375,5,Low,1
14.259686,202.260198,0,Low,1
10.875451,70.5279,5,Medium,1
14.857438,91.487657,8,Low,0
18.428391,16.923627,5,Low,1
19.029785,0.242855,2,Low,1
16.672209,9.126581,3,Low,1
14.606725,45.964252,3,Medium,1
20.622081,61.474771,4,Medium,1
15.018684,63.373007,4,Low,0
15.777404,63.732894,0,Low,1
14.905216,8.885669,3,Low,1
11.834782,11.726058,6,Low,0
19.76711,77.658609,1,Low,1
15.207293,18.058467,2,Low,1
13.985314,104.256408,2,Low,0
18.719938,20.769352,3,Low,1
14.86604,30.591978,4,Low,1
15.346733,13.599475,4,Medium,1
8.097782,24.411507,5,Low,1
18.651541,37.973793,7,Low,0
10.266027,34.619063,3,High,0
9.414752,200.158851,2,High,1
12.846581,23.544458,2,Medium,1
19.87846,25.76032,2,Medium,1
13.556725,11.836893,6,High,0
19.744401,72.150232,0,High,1
14.054658,22.143318,2,Low,1
13.469583,58.051722,3,Medium,1
13.32965,42.094694,4,High,0
11.863716,173.637408,3,Low,1
13.153305,68.4276,2,High,1
16.332337,5.126961,9,Low,0
7.068261,67.174941,3,Medium,1
14.337674,11.782133,3,Low,0
18.79724,141.195065,4,Medium,1
14.617212,161.293802,3,Low,1
11.468923,47.870955,2,High,0
14.061178,26.598093,11,Medium,1
14.488184,27.416953,2,Low,0
14.112232,191.650419,3,High,1
14.3058,34.537396,3,Low,0
17.760017,57.463538,2,Medium,1
16.612589,8.464075,2,High,1
16.910101,7.922465,6,Low,0
16.639785,18.233279,3,Medium,1
6.361516,17.341882,4,Low,0
17.347609,39.249345,3,Low,0
16.474648,67.708785,4,Low,1
17.649159,60.385676,1,Low,1
15.735034,81.064711,1,Low,1
16.995132,128.738814,4,Low,1
17.352387,31.775463,6,Low,1
14.316517,14.820624,4,High,1
17.234217,2.674188,2,Low,0
21.528811,120.198407,5,Medium,0
12.096601,21.9183,5,Low,0
13.83542,110.170761,3,Medium,1
14.396315,44.357001,6,Medium,0
12.412813,366.140874,4,Medium,1
13.727867,26.209198,1,High,1
14.12374,63.792037,5,Low,1
19.997419,100.464276,4,Medium,0
13.37306,29.42112,5,Low,1
18.664012,15.719687,1,Low,1
18.691049,14.983557,3,Low,1
13.93071,76.963382,2,Low,0
12.236706,25.824235,2,Medium,0
17.130758,4.160623,1,Low,1
13.36121,25.294385,2,Low,1
10.679606,144.74026,3,Low,1
15.744293,32.998985,4,Medium,1
10.852582,7.218859,5,Medium,1
12.730968,52.924104,6,Low,1
12.740416,109.041268,6,Low,1
16.055521,101.949221,2,High,0
12.7926,2.529625,1,High,0
11.983733,1.529216,4,Medium,1
16.341203,24.046835,3,Low,0
17.103165,12.235776,3,Low,0
11.409166,33.976046,3,Medium,1
17.527682,8.018863,0,Low,0
13.46649,173.018898,4,Low,1
20.701335,8.926079,7,High,0
16.159516,82.84782,1,High,0
14.746711,65.828746,4,Low,1
9.597762,101.081091,2,Low,1
17.821501,13.711713,6,Low,0
18.562835,46.041765,3,Low,1
15.099623,67.175206,2,Medium,1
13.935435,6.792138,3,High,1
12.326008,25.342638,5,Low,0
13.994032,51.925745,2,Low,1
12.141459,1.922796,4,High,0
12.757855,41.347452,1,Low,1
13.716795,88.887509,0,Low,0
16.997078,20.662235,4,Low,0
16.384225,18.353504,5,Low,0
14.847787,3.292277,2,High,0
11.759136,53.795651,3,Low,0
15.966046,37.907358,4,Medium,1
16.532475,20.253101,6,Medium,1
13.421723,80.564043,7,Low,0
10.143619,10.325457,4,Medium,0
7.804855,28.911353,7,Low,1
21.206767,59.560014,3,High,0
19.003761,15.012842,0,High,1
19.019131,60.66132,4,High,0
18.420883,48.914662,2,High,1
14.243496,55.927931,6,High,1
19.025688,147.967765,5,High,0
11.918933,29.881809,3,Low,1
12.290227,92.958019,4,Low,0
14.628574,152.810923,4,Low,0
12.927818,28.528029,3,Low,1
11.280403,57.937531,0,High,0
18.703697,24.902073,1,Low,1
14.429722,54.014779,2,High,1
12.636942,32.68701,4,High,1
11.484714,5.338476,5,Low,1
13.268996,20.894383,6,High,1
15.871483,8.102105,8,Low,0
18.228069,0.202415,3,Medium,1
18.244003,4.292299,1,Low,1
14.253236,53.872715,4,High,0
15.136146,4.588523,3,Low,0
15.903112,176.503373,3,Medium,1
16.999144,37.945246,7,Medium,0
10.007936,26.181029,2,Medium,1
20.025993,110.902413,1,Low,1
19.989531,38.772302,6,Medium,1
9.695779,61.285642,4,Low,1
16.414253,125.293937,6,Medium,1
20.292788,37.34347,4,Low,1
15.347269,0.588625,0,Low,1
11.228024,12.151045,2,Low,0
12.30994,208.880292,2,Low,1
18.597455,115.912913,4,Low,0
15.112131,20.916294,6,Low,1
18.075093,2.877807,2,Low,0
15.003893,11.313155,3,Low,1
14.358039,218.753793,0,Low,1
16.910369,2.664381,6,High,0
17.347869,15.565909,4,Low,1
14.275816,41.390413,4,Medium,1
16.625503,109.404231,5,Low,0
11.935399,0.703111,7,Medium,1
13.630681,36.669566,0,Medium,1
12.603521,45.34904,2,Low,0
6.120629,10.48853,2,Medium,1
14.600869,36.421033,6,High,1
12.413677,57.734216,1,Low,1
15.594837,18.754938,3,Medium,1
19.135057,76.362262,4,High,1
12.28673,175.552387,2,Low,1
12.290195,24.839281,6,Low,0
14.817039,90.644149,4,Low,0
18.291951,26.695958,4,High,1
18.067157,4.977204,3,High,1
15.017008,111.971948,2,Low,1
10.830674,153.832358,4,High,1
14.87269,52.57456,0,High,0
16.708901,76.197411,6,High,1
20.036367,4.329809,3,Low,1
12.747311,95.463276,2,High,1
21.420146,26.807782,0,High,0
20.876321,11.60944,3,Low,0
13.10943,169.301351,3,High,1
9.198381,152.713422,3,Medium,1
17.267527,4.098998,2,Low,1
15.781436,199.849034,3,Low,1
12.664262,17.811704,3,Low,1
16.27585,39.637589,2,Low,1
15.103588,6.625224,4,Medium,1
16.176043,11.019483,3,Low,1
10.364793,9.150989,1,High,1
10.725918,18.393097,2,Medium,1
10.018716,4.872344,5,Medium,0
21.389542,21.706563,4,Low,1
7.566483,11.019354,3,Low,0
